RowId,YearStart,YearEnd,LocationAbbr,state,Datasource,Class,Topic,Question,Data_Value_Unit,DataValueTypeID,Data_Value_Type,Data_Value,Data_Value_Alt,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,StratificationCategory1,Stratification1,StratificationCategory2,Stratification2,Geolocation,ClassID,TopicID,QuestionID,LocationID,StratificationCategoryID1,StratificationID1,StratificationCategoryID2,StratificationID2
BRFSS~2022~2022~23~Q30~TCC01~AGE~RACE,2022,2022,ME,Maine,BRFSS,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that is happening more often or is getting worse in the preceding 12 months,%,PRCTG,Percentage,,,~,No Data Available,,,Age Group,50-64 years,Race/Ethnicity,"Black, non-Hispanic",POINT (-68.98503134 45.25422889),C06,TCC01,Q30,23,AGE,5064,RACE,BLK
BRFSS~2022~2022~45~Q30~TCC01~AGE~RACE,2022,2022,SC,South Carolina,BRFSS,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that is happening more often or is getting worse in the preceding 12 months,%,PRCTG,Percentage,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Age Group,65 years or older,Race/Ethnicity,Asian/Pacific Islander,POINT (-81.04537121 33.9988213),C06,TCC01,Q30,45,AGE,65PLUS,RACE,ASN
BRFSS~2022~2022~12~Q30~TCC01~AGE~GENDER,2022,2022,FL,Florida,BRFSS,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that is happening more often or is getting worse in the preceding 12 months,%,PRCTG,Percentage,12.7,12.7,,,10.5,15.4,Age Group,Overall,Gender,Female,POINT (-81.92896054 28.93204038),C06,TCC01,Q30,12,AGE,AGE_OVERALL,GENDER,FEMALE
BRFSS~2022~2022~50~Q30~TCC01~AGE~RACE,2022,2022,VT,Vermont,BRFSS,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that is happening more often or is getting worse in the preceding 12 months,%,PRCTG,Percentage,8.2,8.2,,,6.8,9.9,Age Group,50-64 years,Race/Ethnicity,"White, non-Hispanic",POINT (-72.51764079 43.62538124),C06,TCC01,Q30,50,AGE,5064,RACE,WHT
BRFSS~2022~2022~06~Q41~TCC03~AGE~RACE,2022,2022,CA,California,BRFSS,Cognitive Decline,Need assistance with day-to-day activities because of subjective cognitive decline or memory loss,Percentage of older adults who reported that as a result of subjective cognitive decline or memory loss that they need assistance with day-to-day activities,%,PRCTG,Percentage,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Age Group,65 years or older,Race/Ethnicity,Hispanic,POINT (-120.9999995 37.63864012),C06,TCC03,Q41,6,AGE,65PLUS,RACE,HIS
BRFSS~2022~2022~04~Q30~TCC01~AGE~OVERALL,2022,2022,AZ,Arizona,BRFSS,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that is happening more often or is getting worse in the preceding 12 months,%,PRCTG,Percentage,15.0,15.0,,,13.1,17.1,Age Group,Overall,,,POINT (-111.7638113 34.86597028),C06,TCC01,Q30,4,AGE,AGE_OVERALL,OVERALL,OVERALL
BRFSS~2022~2022~50~Q41~TCC03~AGE~RACE,2022,2022,VT,Vermont,BRFSS,Cognitive Decline,Need assistance with day-to-day activities because of subjective cognitive decline or memory loss,Percentage of older adults who reported that as a result of subjective cognitive decline or memory loss that they need assistance with day-to-day activities,%,PRCTG,Percentage,,,~,No Data Available,,,Age Group,50-64 years,Race/Ethnicity,"Black, non-Hispanic",POINT (-72.51764079 43.62538124),C06,TCC03,Q41,50,AGE,5064,RACE,BLK
BRFSS~2022~2022~41~Q42~TCC04~AGE~RACE,2022,2022,OR,Oregon,BRFSS,Cognitive Decline,Talked with health care professional about subjective cognitive decline or memory loss,Percentage of older adults with subjective cognitive decline or memory loss who reported talking with a health care professional about it,%,PRCTG,Percentage,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Age Group,Overall,Race/Ethnicity,Hispanic,POINT (-120.1550313 44.56744942),C06,TCC04,Q42,41,AGE,AGE_OVERALL,RACE,HIS
BRFSS~2022~2022~44~Q30~TCC01~AGE~GENDER,2022,2022,RI,Rhode Island,BRFSS,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that is happening more often or is getting worse in the preceding 12 months,%,PRCTG,Percentage,12.3,12.3,,,10.1,14.9,Age Group,Overall,Gender,Male,POINT (-71.52247031 41.70828019),C06,TCC01,Q30,44,AGE,AGE_OVERALL,GENDER,MALE
BRFSS~2022~2022~12~Q42~TCC04~AGE~GENDER,2022,2022,FL,Florida,BRFSS,Cognitive Decline,Talked with health care professional about subjective cognitive decline or memory loss,Percentage of older adults with subjective cognitive decline or memory loss who reported talking with a health care professional about it,%,PRCTG,Percentage,43.5,43.5,,,28.9,59.4,Age Group,50-64 years,Gender,Male,POINT (-81.92896054 28.93204038),C06,TCC04,Q42,12,AGE,5064,GENDER,MALE
BRFSS~2022~2022~45~Q42~TCC04~AGE~RACE,2022,2022,SC,South Carolina,BRFSS,Cognitive Decline,Talked with health care professional about subjective cognitive decline or memory loss,Percentage of older adults with subjective cognitive decline or memory loss who reported talking with a health care professional about it,%,PRCTG,Percentage,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Age Group,65 years or older,Race/Ethnicity,Native Am/Alaskan Native,POINT (-81.04537121 33.9988213),C06,TCC04,Q42,45,AGE,65PLUS,RACE,NAA
BRFSS~2022~2022~44~Q41~TCC03~AGE~RACE,2022,2022,RI,Rhode Island,BRFSS,Cognitive Decline,Need assistance with day-to-day activities because of subjective cognitive decline or memory loss,Percentage of older adults who reported that as a result of subjective cognitive decline or memory loss that they need assistance with day-to-day activities,%,PRCTG,Percentage,,,~,No Data Available,,,Age Group,65 years or older,Race/Ethnicity,Native Am/Alaskan Native,POINT (-71.52247031 41.70828019),C06,TCC03,Q41,44,AGE,65PLUS,RACE,NAA
BRFSS~2022~2022~09~Q42~TCC04~AGE~RACE,2022,2022,CT,Connecticut,BRFSS,Cognitive Decline,Talked with health care professional about subjective cognitive decline or memory loss,Percentage of older adults with subjective cognitive decline or memory loss who reported talking with a health care professional about it,%,PRCTG,Percentage,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Age Group,Overall,Race/Ethnicity,"Black, non-Hispanic",POINT (-72.64984095 41.56266102),C06,TCC04,Q42,9,AGE,AGE_OVERALL,RACE,BLK
BRFSS~2022~2022~45~Q42~TCC04~AGE~RACE,2022,2022,SC,South Carolina,BRFSS,Cognitive Decline,Talked with health care professional about subjective cognitive decline or memory loss,Percentage of older adults with subjective cognitive decline or memory loss who reported talking with a health care professional about it,%,PRCTG,Percentage,47.8,47.8,,,41.9,53.8,Age Group,Overall,Race/Ethnicity,"White, non-Hispanic",POINT (-81.04537121 33.9988213),C06,TCC04,Q42,45,AGE,AGE_OVERALL,RACE,WHT
BRFSS~2022~2022~19~Q42~TCC04~AGE~GENDER,2022,2022,IA,Iowa,BRFSS,Cognitive Decline,Talked with health care professional about subjective cognitive decline or memory loss,Percentage of older adults with subjective cognitive decline or memory loss who reported talking with a health care professional about it,%,PRCTG,Percentage,43.2,43.2,,,29.8,57.7,Age Group,65 years or older,Gender,Female,POINT (-93.81649056 42.46940091),C06,TCC04,Q42,19,AGE,65PLUS,GENDER,FEMALE
BRFSS~2022~2022~50~Q31~TCC02~AGE~RACE,2022,2022,VT,Vermont,BRFSS,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that interferes with their ability to engage in social activities or household chores,%,PRCTG,Percentage,,,~,No Data Available,,,Age Group,Overall,Race/Ethnicity,Native Am/Alaskan Native,POINT (-72.51764079 43.62538124),C06,TCC02,Q31,50,AGE,AGE_OVERALL,RACE,NAA
BRFSS~2022~2022~49~Q41~TCC03~AGE~OVERALL,2022,2022,UT,Utah,BRFSS,Cognitive Decline,Need assistance with day-to-day activities because of subjective cognitive decline or memory loss,Percentage of older adults who reported that as a result of subjective cognitive decline or memory loss that they need assistance with day-to-day activities,%,PRCTG,Percentage,33.4,33.4,,,23.7,44.8,Age Group,50-64 years,,,POINT (-111.5871306 39.36070017),C06,TCC03,Q41,49,AGE,5064,OVERALL,OVERALL
BRFSS~2022~2022~19~Q41~TCC03~AGE~OVERALL,2022,2022,IA,Iowa,BRFSS,Cognitive Decline,Need assistance with day-to-day activities because of subjective cognitive decline or memory loss,Percentage of older adults who reported that as a result of subjective cognitive decline or memory loss that they need assistance with day-to-day activities,%,PRCTG,Percentage,28.4,28.4,,,19.7,39.0,Age Group,50-64 years,,,POINT (-93.81649056 42.46940091),C06,TCC03,Q41,19,AGE,5064,OVERALL,OVERALL
BRFSS~2022~2022~44~Q42~TCC04~AGE~OVERALL,2022,2022,RI,Rhode Island,BRFSS,Cognitive Decline,Talked with health care professional about subjective cognitive decline or memory loss,Percentage of older adults with subjective cognitive decline or memory loss who reported talking with a health care professional about it,%,PRCTG,Percentage,58.4,58.4,,,48.9,67.3,Age Group,65 years or older,,,POINT (-71.52247031 41.70828019),C06,TCC04,Q42,44,AGE,65PLUS,OVERALL,OVERALL
BRFSS~2022~2022~04~Q31~TCC02~AGE~RACE,2022,2022,AZ,Arizona,BRFSS,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that interferes with their ability to engage in social activities or household chores,%,PRCTG,Percentage,38.7,38.7,,,21.6,59.0,Age Group,Overall,Race/Ethnicity,Hispanic,POINT (-111.7638113 34.86597028),C06,TCC02,Q31,4,AGE,AGE_OVERALL,RACE,HIS
BRFSS~2022~2022~09~Q30~TCC01~AGE~OVERALL,2022,2022,CT,Connecticut,BRFSS,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that is happening more often or is getting worse in the preceding 12 months,%,PRCTG,Percentage,11.2,11.2,,,8.9,13.9,Age Group,50-64 years,,,POINT (-72.64984095 41.56266102),C06,TCC01,Q30,9,AGE,5064,OVERALL,OVERALL
BRFSS~2022~2022~49~Q31~TCC02~AGE~OVERALL,2022,2022,UT,Utah,BRFSS,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that interferes with their ability to engage in social activities or household chores,%,PRCTG,Percentage,30.4,30.4,,,23.4,38.3,Age Group,65 years or older,,,POINT (-111.5871306 39.36070017),C06,TCC02,Q31,49,AGE,65PLUS,OVERALL,OVERALL
BRFSS~2022~2022~49~Q42~TCC04~AGE~RACE,2022,2022,UT,Utah,BRFSS,Cognitive Decline,Talked with health care professional about subjective cognitive decline or memory loss,Percentage of older adults with subjective cognitive decline or memory loss who reported talking with a health care professional about it,%,PRCTG,Percentage,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Age Group,50-64 years,Race/Ethnicity,"Black, non-Hispanic",POINT (-111.5871306 39.36070017),C06,TCC04,Q42,49,AGE,5064,RACE,BLK
BRFSS~2022~2022~55~Q41~TCC03~AGE~RACE,2022,2022,WI,Wisconsin,BRFSS,Cognitive Decline,Need assistance with day-to-day activities because of subjective cognitive decline or memory loss,Percentage of older adults who reported that as a result of subjective cognitive decline or memory loss that they need assistance with day-to-day activities,%,PRCTG,Percentage,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Age Group,50-64 years,Race/Ethnicity,Native Am/Alaskan Native,POINT (-89.81637074 44.39319117),C06,TCC03,Q41,55,AGE,5064,RACE,NAA
BRFSS~2022~2022~04~Q42~TCC04~AGE~RACE,2022,2022,AZ,Arizona,BRFSS,Cognitive Decline,Talked with health care professional about subjective cognitive decline or memory loss,Percentage of older adults with subjective cognitive decline or memory loss who reported talking with a health care professional about it,%,PRCTG,Percentage,37.3,37.3,,,30.2,45.1,Age Group,Overall,Race/Ethnicity,"White, non-Hispanic",POINT (-111.7638113 34.86597028),C06,TCC04,Q42,4,AGE,AGE_OVERALL,RACE,WHT
BRFSS~2022~2022~55~Q42~TCC04~AGE~RACE,2022,2022,WI,Wisconsin,BRFSS,Cognitive Decline,Talked with health care professional about subjective cognitive decline or memory loss,Percentage of older adults with subjective cognitive decline or memory loss who reported talking with a health care professional about it,%,PRCTG,Percentage,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Age Group,65 years or older,Race/Ethnicity,Hispanic,POINT (-89.81637074 44.39319117),C06,TCC04,Q42,55,AGE,65PLUS,RACE,HIS
BRFSS~2022~2022~39~Q30~TCC01~AGE~RACE,2022,2022,OH,Ohio,BRFSS,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that is happening more often or is getting worse in the preceding 12 months,%,PRCTG,Percentage,,,~,No Data Available,,,Age Group,50-64 years,Race/Ethnicity,Asian/Pacific Islander,POINT (-82.40426006 40.06021014),C06,TCC01,Q30,39,AGE,5064,RACE,ASN
BRFSS~2022~2022~19~Q31~TCC02~AGE~RACE,2022,2022,IA,Iowa,BRFSS,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that interferes with their ability to engage in social activities or household chores,%,PRCTG,Percentage,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Age Group,Overall,Race/Ethnicity,"Black, non-Hispanic",POINT (-93.81649056 42.46940091),C06,TCC02,Q31,19,AGE,AGE_OVERALL,RACE,BLK
BRFSS~2022~2022~19~Q31~TCC02~AGE~RACE,2022,2022,IA,Iowa,BRFSS,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that interferes with their ability to engage in social activities or household chores,%,PRCTG,Percentage,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Age Group,65 years or older,Race/Ethnicity,"Black, non-Hispanic",POINT (-93.81649056 42.46940091),C06,TCC02,Q31,19,AGE,65PLUS,RACE,BLK
BRFSS~2022~2022~45~Q41~TCC03~AGE~GENDER,2022,2022,SC,South Carolina,BRFSS,Cognitive Decline,Need assistance with day-to-day activities because of subjective cognitive decline or memory loss,Percentage of older adults who reported that as a result of subjective cognitive decline or memory loss that they need assistance with day-to-day activities,%,PRCTG,Percentage,30.1,30.1,,,20.6,41.7,Age Group,50-64 years,Gender,Male,POINT (-81.04537121 33.9988213),C06,TCC03,Q41,45,AGE,5064,GENDER,MALE
BRFSS~2022~2022~41~Q30~TCC01~AGE~RACE,2022,2022,OR,Oregon,BRFSS,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that is happening more often or is getting worse in the preceding 12 months,%,PRCTG,Percentage,,,~,No Data Available,,,Age Group,65 years or older,Race/Ethnicity,Native Am/Alaskan Native,POINT (-120.1550313 44.56744942),C06,TCC01,Q30,41,AGE,65PLUS,RACE,NAA
BRFSS~2022~2022~26~Q31~TCC02~AGE~GENDER,2022,2022,MI,Michigan,BRFSS,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that interferes with their ability to engage in social activities or household chores,%,PRCTG,Percentage,37.9,37.9,,,25.3,52.3,Age Group,65 years or older,Gender,Female,POINT (-84.71439027 44.66131954),C06,TCC02,Q31,26,AGE,65PLUS,GENDER,FEMALE
BRFSS~2022~2022~19~Q42~TCC04~AGE~GENDER,2022,2022,IA,Iowa,BRFSS,Cognitive Decline,Talked with health care professional about subjective cognitive decline or memory loss,Percentage of older adults with subjective cognitive decline or memory loss who reported talking with a health care professional about it,%,PRCTG,Percentage,29.9,29.9,,,20.7,41.0,Age Group,Overall,Gender,Male,POINT (-93.81649056 42.46940091),C06,TCC04,Q42,19,AGE,AGE_OVERALL,GENDER,MALE
BRFSS~2022~2022~55~Q42~TCC04~AGE~OVERALL,2022,2022,WI,Wisconsin,BRFSS,Cognitive Decline,Talked with health care professional about subjective cognitive decline or memory loss,Percentage of older adults with subjective cognitive decline or memory loss who reported talking with a health care professional about it,%,PRCTG,Percentage,37.8,37.8,,,31.8,44.2,Age Group,65 years or older,,,POINT (-89.81637074 44.39319117),C06,TCC04,Q42,55,AGE,65PLUS,OVERALL,OVERALL
BRFSS~2022~2022~09~Q42~TCC04~AGE~GENDER,2022,2022,CT,Connecticut,BRFSS,Cognitive Decline,Talked with health care professional about subjective cognitive decline or memory loss,Percentage of older adults with subjective cognitive decline or memory loss who reported talking with a health care professional about it,%,PRCTG,Percentage,34.4,34.4,,,20.2,52.0,Age Group,50-64 years,Gender,Male,POINT (-72.64984095 41.56266102),C06,TCC04,Q42,9,AGE,5064,GENDER,MALE
BRFSS~2022~2022~45~Q41~TCC03~AGE~RACE,2022,2022,SC,South Carolina,BRFSS,Cognitive Decline,Need assistance with day-to-day activities because of subjective cognitive decline or memory loss,Percentage of older adults who reported that as a result of subjective cognitive decline or memory loss that they need assistance with day-to-day activities,%,PRCTG,Percentage,33.3,33.3,,,24.6,43.4,Age Group,50-64 years,Race/Ethnicity,"White, non-Hispanic",POINT (-81.04537121 33.9988213),C06,TCC03,Q41,45,AGE,5064,RACE,WHT
BRFSS~2022~2022~19~Q31~TCC02~AGE~RACE,2022,2022,IA,Iowa,BRFSS,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that interferes with their ability to engage in social activities or household chores,%,PRCTG,Percentage,,,~,No Data Available,,,Age Group,Overall,Race/Ethnicity,Asian/Pacific Islander,POINT (-93.81649056 42.46940091),C06,TCC02,Q31,19,AGE,AGE_OVERALL,RACE,ASN
BRFSS~2022~2022~26~Q30~TCC01~AGE~RACE,2022,2022,MI,Michigan,BRFSS,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that is happening more often or is getting worse in the preceding 12 months,%,PRCTG,Percentage,11.3,11.3,,,6.7,18.4,Age Group,Overall,Race/Ethnicity,"Black, non-Hispanic",POINT (-84.71439027 44.66131954),C06,TCC01,Q30,26,AGE,AGE_OVERALL,RACE,BLK
BRFSS~2022~2022~41~Q31~TCC02~AGE~RACE,2022,2022,OR,Oregon,BRFSS,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that interferes with their ability to engage in social activities or household chores,%,PRCTG,Percentage,34.7,34.7,,,21.6,50.7,Age Group,50-64 years,Race/Ethnicity,"White, non-Hispanic",POINT (-120.1550313 44.56744942),C06,TCC02,Q31,41,AGE,5064,RACE,WHT
BRFSS~2022~2022~49~Q31~TCC02~AGE~RACE,2022,2022,UT,Utah,BRFSS,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that interferes with their ability to engage in social activities or household chores,%,PRCTG,Percentage,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Age Group,50-64 years,Race/Ethnicity,Hispanic,POINT (-111.5871306 39.36070017),C06,TCC02,Q31,49,AGE,5064,RACE,HIS
BRFSS~2022~2022~12~Q30~TCC01~AGE~RACE,2022,2022,FL,Florida,BRFSS,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that is happening more often or is getting worse in the preceding 12 months,%,PRCTG,Percentage,10.0,10.0,,,7.9,12.6,Age Group,50-64 years,Race/Ethnicity,"White, non-Hispanic",POINT (-81.92896054 28.93204038),C06,TCC01,Q30,12,AGE,5064,RACE,WHT
BRFSS~2022~2022~18~Q42~TCC04~AGE~RACE,2022,2022,IN,Indiana,BRFSS,Cognitive Decline,Talked with health care professional about subjective cognitive decline or memory loss,Percentage of older adults with subjective cognitive decline or memory loss who reported talking with a health care professional about it,%,PRCTG,Percentage,,,~,No Data Available,,,Age Group,65 years or older,Race/Ethnicity,Native Am/Alaskan Native,POINT (-86.14996019 39.76691045),C06,TCC04,Q42,18,AGE,65PLUS,RACE,NAA
BRFSS~2022~2022~16~Q31~TCC02~AGE~OVERALL,2022,2022,ID,Idaho,BRFSS,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that interferes with their ability to engage in social activities or household chores,%,PRCTG,Percentage,30.4,30.4,,,25.2,36.2,Age Group,Overall,,,POINT (-114.36373 43.68263001),C06,TCC02,Q31,16,AGE,AGE_OVERALL,OVERALL,OVERALL
BRFSS~2022~2022~18~Q42~TCC04~AGE~RACE,2022,2022,IN,Indiana,BRFSS,Cognitive Decline,Talked with health care professional about subjective cognitive decline or memory loss,Percentage of older adults with subjective cognitive decline or memory loss who reported talking with a health care professional about it,%,PRCTG,Percentage,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Age Group,50-64 years,Race/Ethnicity,Native Am/Alaskan Native,POINT (-86.14996019 39.76691045),C06,TCC04,Q42,18,AGE,5064,RACE,NAA
BRFSS~2022~2022~16~Q41~TCC03~AGE~OVERALL,2022,2022,ID,Idaho,BRFSS,Cognitive Decline,Need assistance with day-to-day activities because of subjective cognitive decline or memory loss,Percentage of older adults who reported that as a result of subjective cognitive decline or memory loss that they need assistance with day-to-day activities,%,PRCTG,Percentage,20.1,20.1,,,14.6,27.1,Age Group,65 years or older,,,POINT (-114.36373 43.68263001),C06,TCC03,Q41,16,AGE,65PLUS,OVERALL,OVERALL
BRFSS~2022~2022~26~Q30~TCC01~AGE~RACE,2022,2022,MI,Michigan,BRFSS,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that is happening more often or is getting worse in the preceding 12 months,%,PRCTG,Percentage,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Age Group,50-64 years,Race/Ethnicity,"Black, non-Hispanic",POINT (-84.71439027 44.66131954),C06,TCC01,Q30,26,AGE,5064,RACE,BLK
BRFSS~2022~2022~51~Q41~TCC03~AGE~RACE,2022,2022,VA,Virginia,BRFSS,Cognitive Decline,Need assistance with day-to-day activities because of subjective cognitive decline or memory loss,Percentage of older adults who reported that as a result of subjective cognitive decline or memory loss that they need assistance with day-to-day activities,%,PRCTG,Percentage,30.3,30.3,,,17.4,47.2,Age Group,Overall,Race/Ethnicity,"Black, non-Hispanic",POINT (-78.45789046 37.54268067),C06,TCC03,Q41,51,AGE,AGE_OVERALL,RACE,BLK
BRFSS~2022~2022~18~Q30~TCC01~AGE~OVERALL,2022,2022,IN,Indiana,BRFSS,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that is happening more often or is getting worse in the preceding 12 months,%,PRCTG,Percentage,10.8,10.8,,,9.5,12.3,Age Group,65 years or older,,,POINT (-86.14996019 39.76691045),C06,TCC01,Q30,18,AGE,65PLUS,OVERALL,OVERALL
BRFSS~2022~2022~26~Q31~TCC02~AGE~RACE,2022,2022,MI,Michigan,BRFSS,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that interferes with their ability to engage in social activities or household chores,%,PRCTG,Percentage,,,~,No Data Available,,,Age Group,65 years or older,Race/Ethnicity,Asian/Pacific Islander,POINT (-84.71439027 44.66131954),C06,TCC02,Q31,26,AGE,65PLUS,RACE,ASN
BRFSS~2022~2022~44~Q30~TCC01~AGE~OVERALL,2022,2022,RI,Rhode Island,BRFSS,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that is happening more often or is getting worse in the preceding 12 months,%,PRCTG,Percentage,12.2,12.2,,,10.7,13.9,Age Group,Overall,,,POINT (-71.52247031 41.70828019),C06,TCC01,Q30,44,AGE,AGE_OVERALL,OVERALL,OVERALL
BRFSS~2022~2022~04~Q42~TCC04~AGE~RACE,2022,2022,AZ,Arizona,BRFSS,Cognitive Decline,Talked with health care professional about subjective cognitive decline or memory loss,Percentage of older adults with subjective cognitive decline or memory loss who reported talking with a health care professional about it,%,PRCTG,Percentage,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Age Group,Overall,Race/Ethnicity,Asian/Pacific Islander,POINT (-111.7638113 34.86597028),C06,TCC04,Q42,4,AGE,AGE_OVERALL,RACE,ASN
BRFSS~2022~2022~06~Q31~TCC02~AGE~RACE,2022,2022,CA,California,BRFSS,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that interferes with their ability to engage in social activities or household chores,%,PRCTG,Percentage,19.5,19.5,,,11.6,31.0,Age Group,65 years or older,Race/Ethnicity,"White, non-Hispanic",POINT (-120.9999995 37.63864012),C06,TCC02,Q31,6,AGE,65PLUS,RACE,WHT
BRFSS~2022~2022~44~Q31~TCC02~AGE~RACE,2022,2022,RI,Rhode Island,BRFSS,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that interferes with their ability to engage in social activities or household chores,%,PRCTG,Percentage,,,****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%,,,Age Group,65 years or older,Race/Ethnicity,Hispanic,POINT (-71.52247031 41.70828019),C06,TCC02,Q31,44,AGE,65PLUS,RACE,HIS
BRFSS~2022~2022~16~Q31~TCC02~AGE~OVERALL,2022,2022,ID,Idaho,BRFSS,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that interferes with their ability to engage in social activities or household chores,%,PRCTG,Percentage,21.6,21.6,,,16.2,28.3,Age Group,65 years or older,,,POINT (-114.36373 43.68263001),C06,TCC02,Q31,16,AGE,65PLUS,OVERALL,OVERALL
BRFSS~2022~2022~39~Q41~TCC03~AGE~GENDER,2022,2022,OH,Ohio,BRFSS,Cognitive Decline,Need assistance with day-to-day activities because of subjective cognitive decline or memory loss,Percentage of older adults who reported that as a result of subjective cognitive decline or memory loss that they need assistance with day-to-day activities,%,PRCTG,Percentage,33.9,33.9,,,24.9,44.2,Age Group,Overall,Gender,Female,POINT (-82.40426006 40.06021014),C06,TCC03,Q41,39,AGE,AGE_OVERALL,GENDER,FEMALE
BRFSS~2022~2022~39~Q31~TCC02~AGE~RACE,2022,2022,OH,Ohio,BRFSS,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,Percentage of older adults who reported subjective cognitive decline or memory loss that interferes with their ability to engage in social activities or household chores,%,PRCTG,Percentage,,,~,No Data Available,,,Age Group,50-64 years,Race/Ethnicity,Native Am/Alaskan Native,POINT (-82.40426006 40.06021014),C06,TCC02,Q31,39,AGE,5064,RACE,NAA
